,0
Alabama,0.9405071136211014
Alaska,0.6200526922478149
Arizona,0.752188259456354
Arkansas,0.539949836714627
California,0.31978113843959954
Colorado,1.2630791927938834
Connecticut,1.0950289598742093
Delaware,1.4905600963807983
District of Columbia,0.7777549326082861
Florida,0.4704365372983972
Georgia,0.48335967669800417
Hawaii,0.3649476870070704
Idaho,0.7172147671697432
Illinois,0.41782894875987825
Indiana,1.6306218763828957
Iowa,1.433090586188646
Kansas,1.1177453088794806
Kentucky,0.5947320725557895
Louisiana,0.6890604578375148
Maine,0.8938432263275546
Maryland,1.0112832998621648
Massachusetts,0.4072905841522462
Michigan,0.6797987814463101
Minnesota,0.11141763545684524
Mississippi,0.44593243360056467
Missouri,1.3584199395115444
Montana,1.028675867314571
Nebraska,1.4171683703864348
Nevada,0.4438359002371156
New Hampshire,0.2611402505292278
New Jersey,0.9909561528177531
New Mexico,0.14856752765173023
New York,0.6688257354447097
North Carolina,0.9360057818294467
North Dakota,0.31666241414680274
Ohio,0.6450002195874611
Oklahoma,1.0856738899470804
Oregon,0.5415155726556837
Pennsylvania,0.6899362427293321
Rhode Island,0.5405283919650056
South Carolina,0.8724505010968209
South Dakota,0.6470508565002294
Tennessee,1.0438848023943308
Texas,0.4556487853359701
Utah,0.5681354515884677
Vermont,0.2052983322173644
Virginia,0.580038250356974
Washington,0.6149428066887409
West Virginia,0.26578931070869627
Wisconsin,0.8140893476208625
Wyoming,0.4183162871114766
