Date,Number of Tweets
30/11/2006,1
31/01/2007,8
28/02/2007,10
31/03/2007,54
30/04/2007,96
31/05/2007,128
30/06/2007,130
31/07/2007,189
31/08/2007,199
30/09/2007,238
31/10/2007,279
30/11/2007,304
31/12/2007,282
31/01/2008,457
29/02/2008,637
31/03/2008,1088
30/04/2008,1618
31/05/2008,2417
30/06/2008,2784
31/07/2008,4176
31/08/2008,5086
30/09/2008,6330
31/10/2008,8525
30/11/2008,10249
31/12/2008,12037
31/01/2009,21896
28/02/2009,33359
31/03/2009,69331
30/04/2009,103309
31/05/2009,155114
30/06/2009,207314
31/07/2009,247394
31/08/2009,220937
30/09/2009,267916
31/10/2009,273163
30/11/2009,240274
31/12/2009,266025
31/01/2010,309816
28/02/2010,289094
31/03/2010,377746
30/04/2010,414741
31/05/2010,430312
30/06/2010,420508
31/07/2010,465273
31/08/2010,505784
30/09/2010,387721
31/10/2010,424197
30/11/2010,439633
31/12/2010,386689
31/01/2011,492918
28/02/2011,544726
31/03/2011,598698
30/04/2011,588588
31/05/2011,592296
30/06/2011,655690
31/07/2011,908306
31/08/2011,878603
30/09/2011,966502
31/10/2011,944886
30/11/2011,889005
31/12/2011,869512
31/01/2012,1037389
29/02/2012,1045158
31/03/2012,1247611
30/04/2012,1236088
31/05/2012,1235027
30/06/2012,1142412
31/07/2012,1167106
31/08/2012,1199042
30/09/2012,1094063
31/10/2012,1100423
30/11/2012,1059085
31/12/2012,1089410
31/01/2013,1270430
28/02/2013,1271503
31/03/2013,1638111
30/04/2013,1792357
31/05/2013,1395826
30/06/2013,1076464
31/07/2013,991916
31/08/2013,1071881
30/09/2013,994920
31/10/2013,1114903
30/11/2013,957191
31/12/2013,881305
31/01/2014,1033511
28/02/2014,986191
31/03/2014,1200094
30/04/2014,1270898
31/05/2014,1136755
30/06/2014,1119586
31/07/2014,1199084
31/08/2014,1259425
30/09/2014,1294939
31/10/2014,1300572
30/11/2014,1149249
31/12/2014,1080995
31/01/2015,1223383
28/02/2015,1191651
31/03/2015,1388812
30/04/2015,1550441
31/05/2015,1356837
30/06/2015,1334631
31/07/2015,1393453
31/08/2015,1433705
30/09/2015,1381148
31/10/2015,1502553
30/11/2015,1355323
31/12/2015,1334407
31/01/2016,1606974
29/02/2016,1620555
31/03/2016,1745644
30/04/2016,1610929
31/05/2016,1668656
30/06/2016,1648403
31/07/2016,1566418
31/08/2016,1675691
30/09/2016,1681374
31/10/2016,1951324
30/11/2016,1363186
31/12/2016,1240239
31/01/2017,1346779
28/02/2017,1336211
31/03/2017,1647526
30/04/2017,1375819
31/05/2017,1349279
30/06/2017,1363113
31/07/2017,1305262
31/08/2017,1372702
30/09/2017,1313601
31/10/2017,1337663
30/11/2017,1232551
31/12/2017,1082151
31/01/2018,1324829
28/02/2018,1253729
31/03/2018,1361712
30/04/2018,1233669
31/05/2018,1245005
30/06/2018,1241538
31/07/2018,1260415
31/08/2018,1359928
30/09/2018,1343417
31/10/2018,1360666
30/11/2018,1175096
31/12/2018,999715
31/01/2019,1207019
28/02/2019,1159032
31/03/2019,1243267
30/04/2019,1202542
31/05/2019,1151243
30/06/2019,1074745
31/07/2019,1127234
31/08/2019,1139052
30/09/2019,1119647
31/10/2019,1214062
30/11/2019,1123613
31/12/2019,1072769
31/01/2020,1290218
29/02/2020,1197515
31/03/2020,1206213
30/04/2020,899611
31/05/2020,864067
30/06/2020,871267
31/07/2020,940981
31/08/2020,968402
30/09/2020,1001703
31/10/2020,1071118
30/11/2020,998276
31/12/2020,986023
31/01/2021,1126399
28/02/2021,1175208
31/03/2021,1358631
30/04/2021,1214665
31/05/2021,1044183
30/06/2021,878437
31/07/2021,820598
31/08/2021,852830
30/09/2021,843542
31/10/2021,847835
30/11/2021,804460
31/12/2021,774440
31/01/2022,929312
28/02/2022,941490
31/03/2022,1040866
30/04/2022,934601
31/05/2022,884662
30/06/2022,909395
31/07/2022,968318
31/08/2022,987852
30/09/2022,735741
31/10/2022,753415
30/11/2022,792965
31/12/2022,600406
