category,job_title,category_label
1,royal navy commander,Commissioned armed forces officers
12,undersecretary of state,"Chief executives, senior officials and legislators"
13,aquaculture harvesting manager,Production and Specialized Services Managers
21,astronomy science researcher,Science and engineering professionals
22,heart failure nurse,Health professionals
23,acting school instructor,Teaching professionals
24,auditors,Business and administration professionals
25,embedded system designer,Information and communications technology professionals
26,attorney,"Legal, social and cultural professionals"
41,membership and subscription administrator,General and keyboard clerks
51,ship steward/ship stewardess,Personal service workers
52,street market vendor,Sales workers
61,crop team leader,Market-oriented skilled agricultural workers
71,residential property builder,Building and Related Trades Workers (excluding Electricians)
72,coquille caster,"Metal, machinery and related trades workers"
73,electronic watchmaker,Handicraft and printing workers
74,industrial building electrician,Electrical and Electronics Trades Workers
75,meat boner,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers"
81,miners,Stationary plant and machine operators
82,plane engine assembler,Assemblers
83,train operator,Drivers and mobile plant operators
93,waterway maintenance worker,"Labourers in mining, construction, manufacturing and transport"
96,personal maid,Cleaners and helpers
