index,precision,recall,f1-score,epoch
JOB_TITLE,0.5208870551830841,0.6819716407832546,0.5906432748538012,1
LOC,0.7691633815155497,0.8616290480863592,0.8127748206433696,1
MISC,0.6532951289398281,0.6,0.625514403292181,1
ORG,0.5105448154657294,0.5934627170582226,0.5488899385923477,1
micro avg,0.626204238921002,0.7328823288232882,0.6753565693775384,1
macro avg,0.6134725952760478,0.6842658514819592,0.6444556093454249,1
weighted avg,0.6328544943814928,0.7328823288232882,0.6777852598734325,1
JOB_TITLE,0.6069469835466179,0.6725185685347738,0.638052530429212,2
LOC,0.777919863597613,0.8954857703631011,0.8325729927007299,2
MISC,0.5655737704918032,0.7263157894736842,0.6359447004608294,2
ORG,0.5227642276422764,0.6567926455566905,0.5821638750565867,2
micro avg,0.6555652936021035,0.7667076670766708,0.7067939147689692,2
macro avg,0.6183012113195776,0.7377781934820624,0.6721835246618395,2
weighted avg,0.6582602247423432,0.7667076670766708,0.7079411596033751,2
JOB_TITLE,0.6237006237006237,0.6076975016880486,0.615595075239398,3
LOC,0.791758972086841,0.8768400392541708,0.8321303841676368,3
MISC,0.6040723981900452,0.7026315789473684,0.6496350364963503,3
ORG,0.4573333333333333,0.7007150153217568,0.5534489713594191,3
micro avg,0.6451612903225806,0.7462074620746207,0.6920152091254753,3
macro avg,0.6192163318277107,0.7219710338028362,0.662702366815701,3
weighted avg,0.6589959519186462,0.7462074620746207,0.6962414690841896,3
JOB_TITLE,0.5815056312981625,0.662390276839973,0.6193181818181818,4
LOC,0.7992831541218638,0.8753680078508341,0.8355971896955504,4
MISC,0.5920502092050209,0.7447368421052631,0.6596736596736597,4
ORG,0.49767801857585137,0.6567926455566905,0.5662703654777632,4
micro avg,0.6487959219546493,0.7566625666256662,0.6985899498438535,4
macro avg,0.6176292533002246,0.7348219430881903,0.6702148491662887,4
weighted avg,0.6564892922789265,0.7566625666256662,0.702175477316724,4
JOB_TITLE,0.6039850560398505,0.6549628629304524,0.6284418529316488,5
LOC,0.7996422182468694,0.8773307163886163,0.8366869443144596,5
MISC,0.5551181102362205,0.7421052631578947,0.6351351351351351,5
ORG,0.556829035339064,0.5955056179775281,0.5755182625863771,5
micro avg,0.6712988697424495,0.7427224272242723,0.7052068126520681,5
macro avg,0.6288936049655012,0.7174761151136229,0.6689455487419051,5
weighted avg,0.6724586339214527,0.7427224272242723,0.7053452454137054,5
JOB_TITLE,0.5975842339478703,0.6347062795408508,0.6155861165684348,6
LOC,0.8144712430426716,0.8616290480863592,0.837386742966142,6
MISC,0.615979381443299,0.6289473684210526,0.6223958333333334,6
ORG,0.5485307212822796,0.6292134831460674,0.5861084681255947,6
micro avg,0.6776717557251909,0.7279622796227962,0.7019173749752916,6
macro avg,0.6441413949290301,0.6886240447985825,0.6653692902483762,6
weighted avg,0.6797864667653887,0.7279622796227962,0.7028675333670507,6
JOB_TITLE,0.5581257413997628,0.6353814989871708,0.5942532365014209,7
LOC,0.7867998263135041,0.8891069676153092,0.8348306841741534,7
MISC,0.5525210084033614,0.6921052631578948,0.6144859813084113,7
ORG,0.4919908466819222,0.658835546475996,0.5633187772925765,7
micro avg,0.6338296398891967,0.7505125051250513,0.6872536136662287,7
macro avg,0.5973593556996376,0.7188573190590927,0.6517221698191404,7
weighted avg,0.6399547542301864,0.7505125051250513,0.6901327866896592,7
JOB_TITLE,0.5871505056513979,0.6664415935178933,0.6242884250474383,8
LOC,0.7773091522564319,0.9043179587831207,0.8360172374688138,8
MISC,0.5770925110132159,0.6894736842105263,0.6282973621103118,8
ORG,0.5506976744186046,0.6046986721144024,0.5764362220058422,8
micro avg,0.6600967568536105,0.7552275522755227,0.7044650540204608,8
macro avg,0.6230624608349126,0.7162329771564857,0.6662598116581016,8
weighted avg,0.6584981813466922,0.7552275522755227,0.7034559955724349,8
JOB_TITLE,0.5899149453219927,0.6556380823767725,0.6210425327790214,9
LOC,0.8162878787878788,0.845927379784102,0.8308433734939757,9
MISC,0.5383064516129032,0.7026315789473684,0.6095890410958904,9
ORG,0.5157894736842106,0.6506639427987743,0.5754290876242097,9
micro avg,0.6556749863363089,0.7378023780237802,0.6943185106588213,9
macro avg,0.6150746873517463,0.7137152459767543,0.6592260087482744,9
weighted avg,0.6655951368063373,0.7378023780237802,0.6986493847123807,9
JOB_TITLE,0.561675272518646,0.6610398379473329,0.6073200992555832,10
LOC,0.814677194612169,0.8606476938174681,0.8370317346695298,10
MISC,0.5995423340961098,0.6894736842105263,0.6413708690330476,10
ORG,0.5327659574468085,0.6394279877425945,0.5812441968430826,10
micro avg,0.6574074074074074,0.7423124231242313,0.6972848064702485,10
macro avg,0.6271651896684334,0.7126473009294805,0.6667417249503108,10
weighted avg,0.6645258631645474,0.7423124231242313,0.7007115090602617,10
